"Country";"Frequency Range";"Allocations";"Applications"
"C";"0 - 10 kHz";" ";"#000000"
"C";"27.700 - 33.700 MHz";"UPLINK CH1";"#0000FF"
"C";"34.300 - 40.300 MHz";"UPLINK CH2";"#0000FF"
"C";"48.100 - 54.100 MHz";"UPLINK CH3";"#0000FF"
"C";"54.900 - 60.900 MHz";"UPLINK CH4";"#0000FF"
"C";"110.000 - 118.000 MHz";"DOWNLINK CH01";"#00AA44"
"C";"118.000 - 126.000 MHz";"DOWNLINK CH02";"#00AA44"
"C";"126.000 - 134.000 MHz";"DOWNLINK CH03";"#00AA44"
"C";"134.000 - 142.000 MHz";"DOWNLINK CH04";"#00AA44"
"C";"142.000 - 150.000 MHz";"DOWNLINK CH05";"#00AA44"
"C";"150.000 - 158.000 MHz";"DOWNLINK CH06";"#00AA44"
"C";"158.000 - 166.000 MHz";"DOWNLINK CH07";"#00AA44"
"C";"166.000 - 174.000 MHz";"DOWNLINK CH08";"#00AA44"
"C";"174.000 - 182.000 MHz";"DOWNLINK CH09";"#00AA44"
"C";"182.000 - 190.000 MHz";"DOWNLINK CH10";"#00AA44"
"C";"190.000 - 198.000 MHz";"DOWNLINK CH11";"#00AA44"
"C";"198.000 - 206.000 MHz";"DOWNLINK CH12";"#00AA44"
"C";"206.000 - 214.000 MHz";"DOWNLINK CH13";"#00AA44"
"C";"214.000 - 222.000 MHz";"DOWNLINK CH14";"#00AA44"
"C";"222.000 - 230.000 MHz";"DOWNLINK CH15";"#00AA44"
"C";"230.000 - 238.000 MHz";"DOWNLINK CH16";"#00AA44"
"C";"238.000 - 246.000 MHz";"DOWNLINK CH17";"#00AA44"
"C";"246.000 - 254.000 MHz";"DOWNLINK CH18";"#00AA44"
"C";"254.000 - 262.000 MHz";"DOWNLINK CH19";"#00AA44"
"C";"262.000 - 270.000 MHz";"DOWNLINK CH20";"#00AA44"
"C";"270.000 - 278.000 MHz";"DOWNLINK CH21";"#00AA44"
"C";"278.000 - 286.000 MHz";"DOWNLINK CH22";"#00AA44"
"C";"286.000 - 294.000 MHz";"DOWNLINK CH23";"#00AA44"
"C";"294.000 - 302.000 MHz";"DOWNLINK CH24";"#00AA44"
"C";"302.000 - 310.000 MHz";"DOWNLINK CH25";"#00AA44"
"C";"310.000 - 318.000 MHz";"DOWNLINK CH26";"#00AA44"
"C";"318.000 - 326.000 MHz";"DOWNLINK CH27";"#00AA44"
"C";"326.000 - 334.000 MHz";"DOWNLINK CH28";"#00AA44"
"C";"334.000 - 342.000 MHz";"DOWNLINK CH29";"#00AA44"
"C";"342.000 - 350.000 MHz";"DOWNLINK CH30";"#00AA44"
"C";"350.000 - 358.000 MHz";"DOWNLINK CH31";"#00AA44"
"C";"358.000 - 366.000 MHz";"DOWNLINK CH32";"#00AA44"
"C";"366.000 - 374.000 MHz";"TV CH33";"#AA4477"
"C";"374.000 - 382.000 MHz";"TV CH34";"#AA4477"
"C";"382.000 - 390.000 MHz";"TV CH35";"#AA4477"
"C";"390.000 - 398.000 MHz";"TV CH36";"#AA4477"
"C";"398.000 - 406.000 MHz";"TV CH37";"#AA4477"
"C";"406.000 - 414.000 MHz";"TV CH38";"#AA4477"
"C";"414.000 - 422.000 MHz";"TV CH39";"#AA4477"
"C";"422.000 - 430.000 MHz";"TV CH40";"#AA4477"
"C";"430.000 - 438.000 MHz";"TV CH41";"#AA4477"
"C";"438.000 - 446.000 MHz";"TV CH42";"#AA4477"
"C";"446.000 - 454.000 MHz";"TV CH43";"#AA4477"
"C";"454.000 - 462.000 MHz";"TV CH44";"#AA4477"
"C";"462.000 - 470.000 MHz";"TV CH45";"#AA4477"
"C";"470.000 - 478.000 MHz";"TV CH46";"#AA4477"
"C";"478.000 - 486.000 MHz";"TV CH47";"#AA4477"
"C";"486.000 - 494.000 MHz";"TV CH48";"#AA4477"
"C";"494.000 - 502.000 MHz";"TV CH49";"#AA4477"
"C";"502.000 - 510.000 MHz";"TV CH50";"#AA4477"
"C";"510.000 - 518.000 MHz";"TV CH51";"#AA4477"
"C";"518.000 - 526.000 MHz";"TV CH52";"#AA4477"
"C";"526.000 - 534.000 MHz";"TV CH53";"#AA4477"
"C";"534.000 - 542.000 MHz";"TV CH54";"#AA4477"
"C";"542.000 - 550.000 MHz";"TV CH55";"#AA4477"
"C";"550.000 - 558.000 MHz";"TV CH56";"#AA4477"
"C";"558.000 - 566.000 MHz";"TV CH57";"#AA4477"
"C";"566.000 - 574.000 MHz";"TV CH58";"#AA4477"
"C";"574.000 - 582.000 MHz";"TV CH59";"#AA4477"
"C";"582.000 - 590.000 MHz";"TV CH60";"#AA4477"
"C";"590.000 - 598.000 MHz";"TV CH61";"#AA4477"
"C";"598.000 - 606.000 MHz";"TV CH62";"#AA4477"
"C";"606.000 - 614.000 MHz";"TV CH63";"#AA4477"
"C";"614.000 - 622.000 MHz";"TV CH64";"#AA4477"
"C";"622.000 - 630.000 MHz";"TV CH65";"#AA4477"
"C";"630.000 - 638.000 MHz";"TV CH66";"#AA4477"
"C";"638.000 - 646.000 MHz";"TV CH67";"#AA4477"
"C";"646.000 - 654.000 MHz";"TV CH68";"#AA4477"
"C";"654.000 - 662.000 MHz";"TV CH69";"#AA4477"
"C";"798.000 - 861.000 MHz";"DATA ?";"#DDDD22"
