"Country";"Frequency Range";"Allocations";"Applications"
"CR";"0 - 10 kHz";" ";"#000000"
"CR";"150 - 280 kHz";"LW radio";"#0000FF"
"CR";"531 - 1602 kHz";"MW radio";"#0000FF"
"CR";"1810 - 2000 kHz";"160m HAM";"#DEB887"
"CR";"2173 - 2190 kHz";"Marine";"#000080"
"CR";"2300 - 2495 kHz";"120m SW radio";"#0000FF"
"CR";"3200 - 3400 kHz";"90m SW radio";"#0000FF"
"CR";"3500 - 3800 kHz";"80m HAM";"#DEB887"
"CR";"3950 - 4000 kHz";"75m SW radio";"#0000FF"
"CR";"4750 - 4995 kHz";"60m SW radio";"#0000FF"
"CR";"5351 - 5366 kHz";"60m HAM";"#DEB887"
"CR";"5900 - 6200 kHz";"49m SW radio";"#0000FF"
"CR";"6200 - 6525 kHz";"Marine";"#000080"
"CR";"6765 - 6795 kHz";"ISM";"#DC143C"
"CR";"7000 - 7200 kHz";"40m HAM";"#DEB887"
"CR";"7200 - 7450 kHz";"41m SW radio";"#0000FF"
"CR";"8000 - 8400 kHz";"RFID EAS";"#A9A9A9"
"CR";"9400 - 9900 kHz";"31m SW radio";"#0000FF"
"CR";"10100 - 10150 kHz";"30m HAM";"#DEB887"
"CR";"11600 - 12100 kHz";"25m SW radio";"#0000FF"
"CR";"13410 - 13550 kHz";"RC";"#B8860B"
"CR";"13550 - 13570 kHz";"RFID";"#ADFF2F"
"CR";"13570 - 13870 kHz";"22m SW radio";"#0000FF"
"CR";"14000 - 14350 kHz";"20m HAM";"#DEB887"
"CR";"15100 - 15830 kHz";"19m SW radio";"#0000FF"
"CR";"17480 - 17900 kHz";"16m SW radio";"#0000FF"
"CR";"18068 - 18168 kHz";"17m HAM";"#DEB887"
"CR";"18900 - 19020 kHz";"15m SW radio";"#0000FF"
"CR";"21000 - 21450 kHz";"15m HAM";"#DEB887"
"CR";"21450 - 21850 kHz";"13m SW radio";"#0000FF"
"CR";"24890 - 24990 kHz";"12m HAM";"#DEB887"
"CR";"25550 - 25670 kHz";"Radioastronomy";"#E0FFFF"
"CR";"25670 - 26100 kHz";"11m SW radio";"#0000FF"
"CR";"26350 - 27500 kHz";"CB/RC";"#B8860B"
"CR";"27500 - 28000 kHz";"Meteo";"#B0E0E6"
"CR";"28.000 - 29.700 MHz";"10m HAM";"#DEB887"
"CR";"30.010 - 34.995 MHz";"PMR/Phones";"#20B2AA"
"CR";"34.995 - 35.225 MHz";"RC Air";"#B8860B"
"CR";"36.400 - 38.500 MHz";"Mics";"#8FBC8F"
"CR";"39.775 - 40.000 MHz";"Phones";"#556B2F"
"CR";"40.660 - 40.990 MHz";"RC";"#B8860B"
"CR";"44.000 - 46.000 MHz";"PMR";"#20B2AA"
"CR";"48.500 - 50.000 MHz";"TV I";"#4B0082"
"CR";"50.000 - 54.000 MHz";"6m HAM";"#DEB887"
"CR";"68.000 - 74.800 MHz";"PMR";"#20B2AA"
"CR";"74.800 - 75.200 MHz";"ILS/Aviation";"#FF0000"
"CR";"75.200 - 87.500 MHz";"PMR";"#20B2AA"
"CR";"87.500 - 108.000 MHz";"FM radio";"#9400D3"
"CR";"108.000 - 117.975 MHz";"VOR ILS/Aviation";"#FF0000"
"CR";"117.975 - 137.000 MHz";"Air Voice";"#FF0000"
"CR";"137.000 - 138.000 MHz";"Meteor - NOAA/LRPT downlink";"#B0E0E6"
"CR";"138.000 - 144.000 MHz";"Aviation navigation";"#FF0000"
"CR";"144.000 - 146.000 MHz";"2m HAM";"#DEB887"
"CR";"146.000 - 161.962 MHz";"PMR";"#20B2AA"
"CR";"161.962 - 162.037 MHz";"AIS/Boats ID";"#483D8B"
"CR";"162.037 - 169.400 MHz";"PMR";"#20B2AA"
"CR";"169.400 - 174.000 MHz";"PMR/Mics";"#8FBC8F"
"CR";"174.000 - 240.000 MHz";"DAB+";"#FF69B4"
"CR";"328.600 - 335.400 MHz";"ILS/Aviation navigation";"#FF0000"
"CR";"380.000 - 385.000 MHz";"PMR";"#20B2AA"
"CR";"385.000 - 390.000 MHz";"TETRA/uplink";"#FFFF00"
"CR";"395.000 - 400.000 MHz";"TETRA/downlink";"#FFFF00"
"CR";"400.150 - 405.000 MHz";"Weather baloons/downlink";"#B0E0E6"
"CR";"406.000 - 406.100 MHz";"COSPAS SARSAT/uplink";"#B0E0E6"
"CR";"410.000 - 420.000 MHz";"TETRA/uplink";"#FFFF00"
"CR";"420.000 - 430.000 MHz";"TETRA/downlink";"#FFFF00"
"CR";"431.000 - 435.000 MHz";"ISM 433";"#DC143C"
"CR";"435.000 - 451.310 MHz";"PMR DMR repeaters/70cm HAM";"#20B2AA"
"CR";"451.310 - 455.730 MHz";"Flash-OFDM/uplink";"#A9A9A9"
"CR";"455.730 - 461.310 MHz";"PMR DMR";"#20B2AA"
"CR";"461.310 - 465.730 MHz";"Flash-OFDM/downlink";"#A9A9A9"
"CR";"465.730 - 470.000 MHz";"PMR DMR";"#20B2AA"
"CR";"470.000 - 582.000 MHz";"TV IV/DVB-T";"#4B0082"
"CR";"582.000 - 694.000 MHz";"TV V/DVB-T";"#4B0082"
"CR";"703.000 - 713.000 MHz";"700/A1/uplink";"#EF1821"
"CR";"713.000 - 723.000 MHz";"700/Telemach/uplink";"#000004"
"CR";"723.000 - 733.000 MHz";"700/Telekom/uplink";"#E70073"
"CR";"758.000 - 768.000 MHz";"700/A1/downlink";"#EF1821"
"CR";"768.000 - 778.000 MHz";"700/Telemach/downlink";"#000004"
"CR";"778.000 - 788.000 MHz";"700/Telekom/downlink";"#E70073"
"CR";"791.000 - 806.000 MHz";"800/A1/downlink";"#EF1821"
"CR";"806.000 - 821.000 MHz";"800/Telekom/downlink";"#E70073"
"CR";"823.000 - 832.000 MHz";"Mics";"#8FBC8F"
"CR";"832.000 - 847.000 MHz";"800/A1/uplink";"#EF1821"
"CR";"847.000 - 862.000 MHz";"800/Telekom/uplink";"#E70073"
"CR";"863.000 - 870.000 MHz";"ISM 868";"#DC143C"
"CR";"876.000 - 880.000 MHz";"GSM-R/uplink";"#8c0065"
"CR";"880.300 - 885.300 MHz";"900/Telemach/uplink";"#000004"
"CR";"885.300 - 887.700 MHz";"900/Telekom/uplink";"#E70073"
"CR";"887.700 - 896.000 MHz";"900/A1/uplink";"#EF1821"
"CR";"896.000 - 908.200 MHz";"900/Telekom/uplink";"#E70073"
"CR";"908.200 - 914.500 MHz";"900/A1/uplink";"#EF1821"
"CR";"921.000 - 925.000 MHz";"GSM-R/downlink";"#8c0065"
"CR";"925.300 - 930.300 MHz";"900/Telemach/downlink";"#000004"
"CR";"930.300 - 932.700 MHz";"900/Telekom/downlink";"#E70073"
"CR";"932.700 - 941.000 MHz";"900/A1/downlink";"#EF1821"
"CR";"941.000 - 953.200 MHz";"900/Telekom/downlink";"#E70073"
"CR";"953.200 - 959.500 MHz";"900/A1/downlink";"#EF1821"
"CR";"1028.000 - 1032.000 MHz";"IFF - ADSB/Aviation tracking systems";"#FF0000"
"CR";"1088.000 - 1092.000 MHz";"IFF - ADSB/Aviation tracking systems";"#FF0000"
"CR";"1164.000 - 1215.000 MHz";"Galileo E5";"#7CFC00"
"CR";"1164.000 - 1189.000 MHz";"GPS L5";"#FF1493"
"CR";"1189.000 - 1214.000 MHz";"GLONASS G3";"#FF1493"
"CR";"1207.000 - 1208.000 MHz";"BeiDou B2";"#E0E6B0"
"CR";"1215.000 - 1240.000 MHz";"GPS L2";"#00BFFF"
"CR";"1237.000 - 1254.000 MHz";"GLONASS G2";"#FF1493"
"CR";"1260.000 - 1300.000 MHz";"Galileo E6";"#7CFC00"
"CR";"1268.000 - 1269.000 MHz";"BeiDou B3";"#E0E6B0"
"CR";"1518.000 - 1525.000 MHz";"Meteo MSS/uplink";"#B0E0E6"
"CR";"1525.000 - 1559.000 MHz";"INMARSAT/MSS";"#B0E0E6"
"CR";"1544.000 - 1546.000 MHz";"SARSAT LEOSAR MEOSAR GEOSAR/rescue repeaters";"#B68040"
"CR";"1559.000 - 1592.000 MHz";"Galileo E1";"#7CFC00"
"CR";"1561.000 - 1562.000 MHz";"BeiDou B1";"#E0E6B0"
"CR";"1563.000 - 1587.000 MHz";"GPS L1";"#00BFFF"
"CR";"1589.000 - 1590.000 MHz";"BeiDou B1-B2";"#E0E6B0"
"CR";"1593.000 - 1610.000 MHz";"GLONASS G1";"#FF1493"
"CR";"1610.000 - 1660.500 MHz";"MSS/downlink";"#B0E0E6"
"CR";"1670.000 - 1675.000 MHz";"MSS/downlink";"#B0E0E6"
"CR";"1690.000 - 1708.000 MHz";"Meteor - NOAA/HRPT downlink";"#B0E0E6"
"CR";"1710.100 - 1730.100 MHz";"1800/Telemach/uplink";"#000004"
"CR";"1730.100 - 1750.100 MHz";"1800/Telekom/uplink";"#E70073"
"CR";"1750.100 - 1757.100 MHz";"1800/Telemach/uplink";"#000004"
"CR";"1757.100 - 1774.900 MHz";"1800/A1/uplink";"#EF1821"
"CR";"1774.900 - 1784.900 MHz";"1800/Telekom/uplink";"#E70073"
"CR";"1785.000 - 1805.000 MHz";"Mics";"#8FBC8F"
"CR";"1805.100 - 1825.100 MHz";"1800/Telemach/downlink";"#000004"
"CR";"1825.100 - 1845.100 MHz";"1800/Telekom/downlink";"#E70073"
"CR";"1845.100 - 1852.100 MHz";"1800/Telemach/downlink";"#000004"
"CR";"1852.100 - 1869.900 MHz";"1800/A1/downlink";"#EF1821"
"CR";"1869.900 - 1879.900 MHz";"1800/Telekom/downlink";"#E70073"
"CR";"1880.000 - 1900.000 MHz";"DECT";"#556B2F"
"CR";"1920.000 - 1935.000 MHz";"2100/Telekom/uplink";"#E70073"
"CR";"1935.000 - 1960.000 MHz";"2100/Telemach/uplink";"#000004"
"CR";"1960.000 - 1980.000 MHz";"2100/A1/uplink";"#EF1821"
"CR";"1980.000 - 2010.000 MHz";"MSS/uplink";"#B0E0E6"
"CR";"2010.000 - 2025.000 MHz";"TV cam";"#B0E0E6"
"CR";"2080.000 - 2110.000 MHz";"TV retrans/uplink";"#B0E0E6"
"CR";"2110.000 - 2125.000 MHz";"2100/Telekom/downlink";"#E70073"
"CR";"2125.000 - 2150.000 MHz";"2100/Telemach/downlink";"#000004"
"CR";"2150.000 - 2170.000 MHz";"2100/A1/downlink";"#EF1821"
"CR";"2170.000 - 2200.000 MHz";"MSS/uplink";"#B0E0E6"
"CR";"2200.000 - 2300.000 MHz";"TV retrans/downlink";"#B0E0E6"
"CR";"2409.000 - 2415.000 MHz";"WLAN/CH 1";"#DC143C"
"CR";"2414.000 - 2420.000 MHz";"WLAN/CH 2";"#DC143C"
"CR";"2419.000 - 2425.000 MHz";"WLAN/CH 3";"#DC143C"
"CR";"2424.000 - 2430.000 MHz";"WLAN/CH 4";"#DC143C"
"CR";"2429.000 - 2435.000 MHz";"WLAN/CH 5";"#DC143C"
"CR";"2434.000 - 2440.000 MHz";"WLAN/CH 6";"#DC143C"
"CR";"2439.000 - 2445.000 MHz";"WLAN/CH 7";"#DC143C"
"CR";"2444.000 - 2450.000 MHz";"WLAN/CH 8";"#DC143C"
"CR";"2449.000 - 2455.000 MHz";"WLAN/CH 9";"#DC143C"
"CR";"2454.000 - 2460.000 MHz";"WLAN/CH 10";"#DC143C"
"CR";"2459.000 - 2465.000 MHz";"WLAN/CH 11";"#DC143C"
"CR";"2464.000 - 2470.000 MHz";"WLAN/CH 12";"#DC143C"
"CR";"2469.000 - 2475.000 MHz";"WLAN/CH 13";"#DC143C"
"CR";"2483.500 - 2500.000 MHz";"TV cam";"#B0E0E6"
"CR";"2500.000 - 2520.000 MHz";"2600/Telemach/uplink";"#000004"
"CR";"2520.000 - 2540.000 MHz";"2600/A1/uplink";"#EF1821"
"CR";"2540.000 - 2560.000 MHz";"2600/Telekom/uplink";"#E70073"
"CR";"2620.000 - 2640.000 MHz";"2600/Telemach/downlink";"#000004"
"CR";"2640.000 - 2660.000 MHz";"2600/A1/downlink";"#EF1821"
"CR";"2660.000 - 2680.000 MHz";"2600/Telekom/downlink";"#E70073"
"CR";"2700.000 - 2900.000 MHz";"Civil + military radar";"#FF0000"
"CR";"3400.000 - 3480.000 MHz";"3500/Markoja/TDD";"#B1181E"
"CR";"3480.000 - 3600.000 MHz";"3700/Telekom/TDD";"#E70073"
"CR";"3600.000 - 3700.000 MHz";"3700/Telemach/TDD";"#000004"
"CR";"3700.000 - 3800.000 MHz";"3700/A1/TDD";"#EF1821"
