"Country";"Frequency Range";"Allocations";"Applications"
"SK";"531 - 1602 kHz";"SV";"#0000FF"
"SK";"1810 - 2000 kHz";"Amatéri/160m";"#DEB887"
"SK";"2173 - 2190 kHz";"Lodná/komunikácia";"#000080"
"SK";"2300 - 2495 kHz";"KV/120m";"#0000FF"
"SK";"3200 - 3400 kHz";"KV/90m";"#0000FF"
"SK";"3500 - 3800 kHz";"Amatéri/80m";"#DEB887"
"SK";"3950 - 4000 kHz";"KV/75m";"#0000FF"
"SK";"4063 - 4438 kHz";"Lodná komunikácia";"#000080"
"SK";"4750 - 4995 kHz";"KV/60m";"#0000FF"
"SK";"5351 - 5366 kHz";"Amatéri/60m";"#DEB887"
"SK";"5900 - 6200 kHz";"KV/49m";"#0000FF"
"SK";"6200 - 6525 kHz";"Lodná/komunikácia";"#000080"
"SK";"6765 - 6795 kHz";"ISM";"#DC143C"
"SK";"7000 - 7200 kHz";"Amatéri/40m";"#DEB887"
"SK";"7200 - 7450 kHz";"KV/41m";"#0000FF"
"SK";"8000 - 8400 kHz";"EAS";"#A9A9A9"
"SK";"8400 - 8815 kHz";"Lodná/komunikácia";"#000080"
"SK";"9400 - 9900 kHz";"KV/31m";"#0000FF"
"SK";"10100 - 10150 kHz";"Amatéri/30m";"#DEB887"
"SK";"11600 - 12100 kHz";"KV/25m";"#0000FF"
"SK";"12230 - 13200 kHz";"Lodná/komunikácia";"#000080"
"SK";"13410 - 13550 kHz";"Modely";"#B8860B"
"SK";"13550 - 13570 kHz";"RFID";"#ADFF2F"
"SK";"13570 - 13870 kHz";"KV/22m";"#0000FF"
"SK";"14000 - 14350 kHz";"Amatéri/20m";"#DEB887"
"SK";"15100 - 15830 kHz";"KV/19m";"#0000FF"
"SK";"16360 - 17410 kHz";"Lodná/komunikácia";"#000080"
"SK";"17480 - 17900 kHz";"KV/16m";"#0000FF"
"SK";"18068 - 18168 kHz";"Amatéri/17m";"#DEB887"
"SK";"18900 - 19020 kHz";"KV/15m";"#0000FF"
"SK";"19680 - 19800 kHz";"Lodná/komunikácia";"#000080"
"SK";"21000 - 21450 kHz";"Amatéri/15m";"#DEB887"
"SK";"21450 - 21850 kHz";"KV/13m";"#0000FF"
"SK";"22000 - 22850 kHz";"Lodná/komunikácia";"#000080"
"SK";"24890 - 24990 kHz";"Amatéri/12m";"#DEB887"
"SK";"25550 - 25670 kHz";"Radioastronómia";"#E0FFFF"
"SK";"25670 - 26100 kHz";"KV/11m";"#0000FF"
"SK";"26100 - 26175 kHz";"Lodná/komunikácia";"#000080"
"SK";"26350 - 27500 kHz";"CB/modely";"#B8860B"
"SK";"27500 - 28000 kHz";"Meteo";"#B0E0E6"
"SK";"28.000 - 29.700 MHz";"Amatéri/10m";"#DEB887"
"SK";"30.010 - 34.995 MHz";"PMR/Telefóny";"#20B2AA"
"SK";"34.995 - 35.225 MHz";"Leteckí/modelári";"#B8860B"
"SK";"36.400 - 38.500 MHz";"Mikrofóny";"#8FBC8F"
"SK";"39.775 - 40.000 MHz";"Telefóny";"#556B2F"
"SK";"40.660 - 40.990 MHz";"Modely";"#B8860B"
"SK";"44.000 - 46.000 MHz";"PMR";"#20B2AA"
"SK";"48.500 - 50.000 MHz";"TV I";"#4B0082"
"SK";"50.000 - 54.000 MHz";"Amatéri/6m";"#DEB887"
"SK";"68.000 - 74.800 MHz";"PMR";"#20B2AA"
"SK";"74.800 - 75.200 MHz";"ILS/Letecká/navigácia";"#FF0000"
"SK";"75.200 - 87.500 MHz";"PMR";"#20B2AA"
"SK";"87.500 - 108.000 MHz";"FM rozhlas";"#9400D3"
"SK";"108.000 - 117.975 MHz";"VOR,ILS/Letecká/navigácia";"#FF0000"
"SK";"117.975 - 137.000 MHz";"SAR,AGA/Letecká/komunikácia";"#FF0000"
"SK";"137.000 - 138.000 MHz";"Meteo/uplink/MSS";"#B0E0E6"
"SK";"138.000 - 144.000 MHz";"Letecká/komunikácia";"#FF0000"
"SK";"144.000 - 146.000 MHz";"Amatéri/2m";"#DEB887"
"SK";"146.000 - 161.962 MHz";"PMR";"#20B2AA"
"SK";"161.962 - 161.987 MHz";"AIS/Lodná/komunikácia";"#483D8B"
"SK";"162.012 - 162.037 MHz";"AIS2/Lodná/komunikácia";"#483D8B"
"SK";"162.037 - 169.400 MHz";"PMR";"#20B2AA"
"SK";"169.400 - 174.000 MHz";"PMR/Mikrofóny";"#8FBC8F"
"SK";"174.000 - 240.000 MHz";"DAB+";"#FF69B4"
"SK";"328.600 - 335.400 MHz";"ILS/Letecká navigácia";"#FF0000"
"SK";"380.000 - 385.000 MHz";"PMR";"#20B2AA"
"SK";"385.000 - 390.000 MHz";"TETRA/uplink";"#FFFF00"
"SK";"395.000 - 400.000 MHz";"TETRA/downlink";"#FFFF00"
"SK";"400.150 - 405.000 MHz";"Meteo/downlink";"#B0E0E6"
"SK";"406.000 - 406.100 MHz";"COSPAS/SARSAT/uplink";"#B0E0E6"
"SK";"410.000 - 420.000 MHz";"TETRA/uplink";"#FFFF00"
"SK";"420.000 - 430.000 MHz";"TETRA/downlink";"#FFFF00"
"SK";"433.000 - 435.000 MHz";"ISM433";"#DC143C"
"SK";"435.000 - 451.310 MHz";"PMR";"#20B2AA"
"SK";"451.310 - 455.730 MHz";"Flash-OFDM/uplink";"#A9A9A9"
"SK";"455.730 - 461.310 MHz";"PMR";"#20B2AA"
"SK";"461.310 - 465.730 MHz";"Flash-OFDM/downlink";"#A9A9A9"
"SK";"465.730 - 470.000 MHz";"PMR";"#20B2AA"
"SK";"470.000 - 582.000 MHz";"DVB/TV IV";"#4B0082"
"SK";"582.000 - 694.000 MHz";"DVB/TV V";"#4B0082"
"SK";"703.000 - 713.000 MHz";"700/Iliad/uplink";"#9c0000"
"SK";"713.000 - 723.000 MHz";"700/TIM/uplink";"#004d94"
"SK";"723.000 - 733.000 MHz";"700/Vodafone/uplink";"#ff0000"
"SK";"758.000 - 768.000 MHz";"700/Iliad/downlink";"#9c0000"
"SK";"768.000 - 778.000 MHz";"700/TIM/downlink";"#004d94"
"SK";"778.000 - 788.000 MHz";"700/Vodafone/downlink";"#ff0000"
"SK";"791.000 - 801.000 MHz";"800/WindTre/downlink";"#ff6200"
"SK";"801.000 - 811.000 MHz";"800/TIM/downlink";"#004d94"
